Number,Date,User,Tweet,Location
21,2023-03-15 01:02:18+00:00,RogerHarned,"Be Christ's hands and feet in Syria and Turkiye (Turkey)! Earthquake response is happening now. 
https://t.co/TkgjW8LSGG (50,000+ dead so far.) #earthquake victims need HELP! 100's of 1000's still suffering. Voice of the Martyrs has a heart for the #persecuted worldwide.","Cincinnati, OH"
22,2023-03-15 00:59:33+00:00,LastQuake,"Help us keep doing what we've always done: inform and reassure citizens living in #earthquake-prone regions and and stand side-by-side with affected population in case of an #earthquake🙏 If you can, consider a donation to https://t.co/6Cc7sj0zpP Thank you💟 https://t.co/v0mVRA92DB","based in Paris, works globally"
23,2023-03-14 22:51:22+00:00,SyriaCivilDef,"As part of our team's plan to support the restoration of essential infrastructure in the cities and towns affected by the #earthquake, we are continuing our work to remove the rubble of houses that were destroyed to help civilians in the rebuilding process to move forward. https://t.co/ICoywGBdzL",Syria
24,2023-03-14 20:58:48+00:00,LastQuake,"Take action and help us build an #earthquake-resilient society💟We're a not for profit NGO offering free and ad-free services. If you can, consider a donation to https://t.co/6Cc7sj0zpP Thank you🙏 https://t.co/IpIiDAgAvp","based in Paris, works globally"
25,2023-03-14 18:00:27+00:00,ActionAidUSA,"The #earthquake in #Syria left Adawiya &amp; her children homeless &amp; traumatized. They received temporary shelter from our partner on the ground. The children are also receiving emotional support from our team.

Donate now to help us reach more people👉 https://t.co/ZJmZNvOkmm https://t.co/fKaKDTdQbk",Washington D.C.
26,2023-03-14 17:22:12+00:00,GC_Relief,"Ali Farajullayev is a worship pastor from Yalova, a coastal town in Turkey. After the earthquakes hit, he traveled to the impacted areas to help in any way he could.⁠ #Turkey #Syria #Earthquake https://t.co/XgWIPL92mS",All around the world
27,2023-03-14 17:04:51+00:00,praygivego,"Thanks to generous supporters, ANM has delivered water, food, and other emergency supplies to thousands of #earthquake victims in Turkey and Syria. A big need right now is weatherproof shelter for families still surviving on the streets. Help here👉https://t.co/6ZHrL6fYjh https://t.co/qJvhHnDY4i","Afton, VA"
28,2023-03-14 16:18:03+00:00,HelpAge,📢If any #journalists are covering the 12 year anniversary of the #Syrianwar tomorrow do get in touch. @HelpAge is stating that #earthquake must be a wake up call to address longstanding damage &amp; neglect caused by 12-year war &amp; outlines specific challenges faced by #OlderPeople.,Global
29,2023-03-14 16:12:04+00:00,EvrenWiltse,"International support keeps coming to #Turkey to help the #earthquake survivors. 
Let’s not forget their medium to long term needs. 
Thousands who survived need temporary shelter amidst cold and rain. Donations of container homes from Bulgaria will certainly make a difference.",Brookings SD
30,2023-03-14 16:01:41+00:00,IACharity_UK,"Day 3 of the distribution continues thanks to your generous support.

Please keep donating so we can help as many people in need as possible.

https://t.co/fyCrgagDny 

#earthquake #survivors #shaykhalyaqoubi #shaykhmuhammadalyaqoubi #turkey #humanaid #TranquilityReliefCampaign https://t.co/mnygUUDAP1","Birmingham, England"
